display_name,name,description,parrent,children
ISO -> 21 -> 21.060 -> 21.060.99,21.060.99,Other fasteners,ISO -> 21 -> 21.060,
ISO -> 21 -> 21.100,21.100,Bearings,ISO -> 21,ISO -> 21 -> 21.100 -> 21.100.01
,,,,ISO -> 21 -> 21.100 -> 21.100.10
,,,,ISO -> 21 -> 21.100 -> 21.100.20
ISO -> 21 -> 21.100 -> 21.100.01,21.100.01,Bearings in general,ISO -> 21 -> 21.100,
ISO -> 21 -> 21.100 -> 21.100.10,21.100.10,Plain bearings,ISO -> 21 -> 21.100,
ISO -> 21 -> 21.100 -> 21.100.20,21.100.20,Rolling bearings,ISO -> 21 -> 21.100,
ISO -> 21 -> 21.120,21.120,Shafts and couplings,ISO -> 21,ISO -> 21 -> 21.120 -> 21.120.10
,,,,ISO -> 21 -> 21.120 -> 21.120.20
,,,,ISO -> 21 -> 21.120 -> 21.120.30
,,,,ISO -> 21 -> 21.120 -> 21.120.40
ISO -> 21 -> 21.120 -> 21.120.10,21.120.10,Shafts,ISO -> 21 -> 21.120,
ISO -> 21 -> 21.120 -> 21.120.20,21.120.20,Couplings,ISO -> 21 -> 21.120,
ISO -> 21 -> 21.120 -> 21.120.30,21.120.30,"Keys and keyways, splines",ISO -> 21 -> 21.120,
ISO -> 21 -> 21.120 -> 21.120.40,21.120.40,Balancing and balancing machines,ISO -> 21 -> 21.120,
ISO -> 21 -> 21.140,21.140,"Seals, glandsSeals for pipe and hose assemblies, see23.040.80",ISO -> 21,
ISO -> 21 -> 21.160,21.160,"SpringsSteels for springs, see77.140.25",ISO -> 21,
ISO -> 21 -> 21.200,21.200,Gears,ISO -> 21,
ISO -> 21 -> 21.220,21.220,Flexible drives and transmissions,ISO -> 21,ISO -> 21 -> 21.220 -> 21.220.01
,,,,ISO -> 21 -> 21.220 -> 21.220.10
,,,,ISO -> 21 -> 21.220 -> 21.220.30
ISO -> 21 -> 21.220 -> 21.220.01,21.220.01,Flexible drives and transmissions in general,ISO -> 21 -> 21.220,
ISO -> 21 -> 21.220 -> 21.220.10,21.220.10,Belt drives and their components,ISO -> 21 -> 21.220,
ISO -> 21 -> 21.220 -> 21.220.30,21.220.30,Chain drives and their components,ISO -> 21 -> 21.220,
ISO -> 21 -> 21.240,21.240,"Rotary-reciprocating mechanisms and their partsIncluding pistons, piston-rings, crankshafts, etc. for general engineering",ISO -> 21,
ISO -> 23,23,Fluid systems and components for general use,ISO,ISO -> 23 -> 23.020
,,,,ISO -> 23 -> 23.040
,,,,ISO -> 23 -> 23.060
,,,,ISO -> 23 -> 23.080
,,,,ISO -> 23 -> 23.100
,,,,ISO -> 23 -> 23.120
,,,,ISO -> 23 -> 23.140
,,,,ISO -> 23 -> 23.160
ISO -> 23 -> 23.020,23.020,"Fluid storage devicesSmall containers for transportation of fluids and bulk materials, see55.140Storage devices for petroleum products and natural gas, see75.200",ISO -> 23,ISO -> 23 -> 23.020 -> 23.020.30
,,,,ISO -> 23 -> 23.020 -> 23.020.35
,,,,ISO -> 23 -> 23.020 -> 23.020.40
ISO -> 23 -> 23.020 -> 23.020.30,23.020.30,"Pressure vesselsSteam pressure vessels, see27.060.30Steels for pressure purposes, see77.140.30",ISO -> 23 -> 23.020,
ISO -> 23 -> 23.020 -> 23.020.35,23.020.35,Gas cylinders,ISO -> 23 -> 23.020,
ISO -> 23 -> 23.020 -> 23.020.40,23.020.40,Cryogenic vessels,ISO -> 23 -> 23.020,
ISO -> 23 -> 23.040,23.040,"Pipeline components and pipelinesPipeline components and pipelines for petroleum products and natural gas, see75.200",ISO -> 23,ISO -> 23 -> 23.040 -> 23.040.01
,,,,ISO -> 23 -> 23.040 -> 23.040.10
,,,,ISO -> 23 -> 23.040 -> 23.040.15
,,,,ISO -> 23 -> 23.040 -> 23.040.20
,,,,ISO -> 23 -> 23.040 -> 23.040.40
,,,,ISO -> 23 -> 23.040 -> 23.040.45
,,,,ISO -> 23 -> 23.040 -> 23.040.50
,,,,ISO -> 23 -> 23.040 -> 23.040.60
,,,,ISO -> 23 -> 23.040 -> 23.040.70
,,,,ISO -> 23 -> 23.040 -> 23.040.80
,,,,ISO -> 23 -> 23.040 -> 23.040.99
ISO -> 23 -> 23.040 -> 23.040.01,23.040.01,Pipeline components and pipelines in general,ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.10,23.040.10,"Iron and steel pipesSteel pipes and tubes for specific use, see77.140.75",ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.15,23.040.15,"Non-ferrous metal pipesNon-ferrous metal pipes and tubes for specific use, see77.150",ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.20,23.040.20,Plastics pipes,ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.40,23.040.40,Metal fittings,ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.45,23.040.45,Plastics fittings,ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.50,23.040.50,Pipes and fittings of other materials,ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.60,23.040.60,"Flanges, couplings and joints",ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.70,23.040.70,Hoses and hose assemblies,ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.80,23.040.80,Seals for pipe and hose assemblies,ISO -> 23 -> 23.040,
ISO -> 23 -> 23.040 -> 23.040.99,23.040.99,Other pipeline components,ISO -> 23 -> 23.040,
ISO -> 23 -> 23.060,23.060,Valves,ISO -> 23,ISO -> 23 -> 23.060 -> 23.060.01
,,,,ISO -> 23 -> 23.060 -> 23.060.10
,,,,ISO -> 23 -> 23.060 -> 23.060.20
,,,,ISO -> 23 -> 23.060 -> 23.060.30
,,,,ISO -> 23 -> 23.060 -> 23.060.40
,,,,ISO -> 23 -> 23.060 -> 23.060.50
,,,,ISO -> 23 -> 23.060 -> 23.060.99
ISO -> 23 -> 23.060 -> 23.060.01,23.060.01,Valves in general,ISO -> 23 -> 23.060,
ISO -> 23 -> 23.060 -> 23.060.10,23.060.10,Globe valves,ISO -> 23 -> 23.060,
ISO -> 23 -> 23.060 -> 23.060.20,23.060.20,Ball and plug valves,ISO -> 23 -> 23.060,
ISO -> 23 -> 23.060 -> 23.060.30,23.060.30,Gate valves,ISO -> 23 -> 23.060,
ISO -> 23 -> 23.060 -> 23.060.40,23.060.40,"Pressure regulatorsIncluding pressure-reducersProtection against excessive pressure, see13.240",ISO -> 23 -> 23.060,
ISO -> 23 -> 23.060 -> 23.060.50,23.060.50,Check valves,ISO -> 23 -> 23.060,
ISO -> 23 -> 23.060 -> 23.060.99,23.060.99,Other valves,ISO -> 23 -> 23.060,
ISO -> 23 -> 23.080,23.080,"PumpsPumps for fluid power systems, see23.100.10Vacuum pumps, see23.160",ISO -> 23,
ISO -> 23 -> 23.100,23.100,Fluid power systems,ISO -> 23,ISO -> 23 -> 23.100 -> 23.100.01
,,,,ISO -> 23 -> 23.100 -> 23.100.10
,,,,ISO -> 23 -> 23.100 -> 23.100.20
,,,,ISO -> 23 -> 23.100 -> 23.100.40
,,,,ISO -> 23 -> 23.100 -> 23.100.50
,,,,ISO -> 23 -> 23.100 -> 23.100.60
,,,,ISO -> 23 -> 23.100 -> 23.100.99
ISO -> 23 -> 23.100 -> 23.100.01,23.100.01,Fluid power systems in general,ISO -> 23 -> 23.100,
ISO -> 23 -> 23.100 -> 23.100.10,23.100.10,Pumps and motors,ISO -> 23 -> 23.100,
ISO -> 23 -> 23.100 -> 23.100.20,23.100.20,Cylinders,ISO -> 23 -> 23.100,
ISO -> 23 -> 23.100 -> 23.100.40,23.100.40,Piping and couplings,ISO -> 23 -> 23.100,
ISO -> 23 -> 23.100 -> 23.100.50,23.100.50,Control componentsIncluding valves,ISO -> 23 -> 23.100,
ISO -> 23 -> 23.100 -> 23.100.60,23.100.60,"Filters, seals and contamination of fluidsHydraulic fluids, see75.120",ISO -> 23 -> 23.100,
ISO -> 23 -> 23.100 -> 23.100.99,23.100.99,Other fluid power system components,ISO -> 23 -> 23.100,
ISO -> 23 -> 23.120,23.120,"Ventilators. Fans. Air-conditionersMarine ventilation and air-conditioning systems, see47.020.90Mining ventilation and air-conditioning systems, see73.100.20Ventilation and air-conditioning in buildings, see91.140.30",ISO -> 23,
ISO -> 23 -> 23.140,23.140,"Compressors and pneumatic machinesCompressed air, see71.100.20",ISO -> 23,
ISO -> 23 -> 23.160,23.160,Vacuum technologyIncluding vacuum pumps,ISO -> 23,
ISO -> 25,25,Manufacturing engineering,ISO,ISO -> 25 -> 25.030
,,,,ISO -> 25 -> 25.040
,,,,ISO -> 25 -> 25.060
,,,,ISO -> 25 -> 25.080
,,,,ISO -> 25 -> 25.100
,,,,ISO -> 25 -> 25.120
,,,,ISO -> 25 -> 25.140
,,,,ISO -> 25 -> 25.160
,,,,ISO -> 25 -> 25.180
,,,,ISO -> 25 -> 25.200
,,,,ISO -> 25 -> 25.220
ISO -> 25 -> 25.030,25.030,Additive manufacturing,ISO -> 25,
ISO -> 25 -> 25.040,25.040,"Industrial automation systemsIT applications in industry, see35.240.50",ISO -> 25,ISO -> 25 -> 25.040 -> 25.040.01
,,,,ISO -> 25 -> 25.040 -> 25.040.10
,,,,ISO -> 25 -> 25.040 -> 25.040.20
,,,,ISO -> 25 -> 25.040 -> 25.040.30
,,,,ISO -> 25 -> 25.040 -> 25.040.40
,,,,ISO -> 25 -> 25.040 -> 25.040.99
ISO -> 25 -> 25.040 -> 25.040.01,25.040.01,Industrial automation systems in general,ISO -> 25 -> 25.040,
ISO -> 25 -> 25.040 -> 25.040.10,25.040.10,Machining centres,ISO -> 25 -> 25.040,
ISO -> 25 -> 25.040 -> 25.040.20,25.040.20,Numerically controlled machines,ISO -> 25 -> 25.040,
ISO -> 25 -> 25.040 -> 25.040.30,25.040.30,Industrial robots. Manipulators,ISO -> 25 -> 25.040,
ISO -> 25 -> 25.040 -> 25.040.40,25.040.40,Industrial process measurement and control,ISO -> 25 -> 25.040,
ISO -> 25 -> 25.040 -> 25.040.99,25.040.99,Other industrial automation systems,ISO -> 25 -> 25.040,
ISO -> 25 -> 25.060,25.060,Machine tool systems,ISO -> 25,ISO -> 25 -> 25.060 -> 25.060.01
,,,,ISO -> 25 -> 25.060 -> 25.060.10
,,,,ISO -> 25 -> 25.060 -> 25.060.20
,,,,ISO -> 25 -> 25.060 -> 25.060.99
ISO -> 25 -> 25.060 -> 25.060.01,25.060.01,Machine tool systems in general,ISO -> 25 -> 25.060,
ISO -> 25 -> 25.060 -> 25.060.10,25.060.10,Modular units and other devices,ISO -> 25 -> 25.060,
ISO -> 25 -> 25.060 -> 25.060.20,25.060.20,Dividing and tool-workpiece holding devices,ISO -> 25 -> 25.060,
ISO -> 25 -> 25.060 -> 25.060.99,25.060.99,Other machine tool systems,ISO -> 25 -> 25.060,
ISO -> 25 -> 25.080,25.080,"Machine toolsWoodworking machines, see79.120.10",ISO -> 25,ISO -> 25 -> 25.080 -> 25.080.01
,,,,ISO -> 25 -> 25.080 -> 25.080.10
,,,,ISO -> 25 -> 25.080 -> 25.080.20
,,,,ISO -> 25 -> 25.080 -> 25.080.30
,,,,ISO -> 25 -> 25.080 -> 25.080.40
,,,,ISO -> 25 -> 25.080 -> 25.080.50
,,,,ISO -> 25 -> 25.080 -> 25.080.99
ISO -> 25 -> 25.080 -> 25.080.01,25.080.01,Machine tools in general,ISO -> 25 -> 25.080,
ISO -> 25 -> 25.080 -> 25.080.10,25.080.10,Lathes,ISO -> 25 -> 25.080,
ISO -> 25 -> 25.080 -> 25.080.20,25.080.20,Boring and milling machines,ISO -> 25 -> 25.080,
ISO -> 25 -> 25.080 -> 25.080.30,25.080.30,Broaching machines,ISO -> 25 -> 25.080,
ISO -> 25 -> 25.080 -> 25.080.40,25.080.40,Drilling machines,ISO -> 25 -> 25.080,
ISO -> 25 -> 25.080 -> 25.080.50,25.080.50,Grinding and polishing machines,ISO -> 25 -> 25.080,
ISO -> 25 -> 25.080 -> 25.080.99,25.080.99,Other machine tools,ISO -> 25 -> 25.080,
ISO -> 25 -> 25.100,25.100,"Cutting toolsIncluding industrial diamondsWoodworking tools, see79.120.20",ISO -> 25,ISO -> 25 -> 25.100 -> 25.100.01
,,,,ISO -> 25 -> 25.100 -> 25.100.10
,,,,ISO -> 25 -> 25.100 -> 25.100.20
,,,,ISO -> 25 -> 25.100 -> 25.100.25
,,,,ISO -> 25 -> 25.100 -> 25.100.30
,,,,ISO -> 25 -> 25.100 -> 25.100.40
,,,,ISO -> 25 -> 25.100 -> 25.100.50
,,,,ISO -> 25 -> 25.100 -> 25.100.60
,,,,ISO -> 25 -> 25.100 -> 25.100.70
ISO -> 25 -> 25.100 -> 25.100.01,25.100.01,Cutting tools in general,ISO -> 25 -> 25.100,
ISO -> 25 -> 25.100 -> 25.100.10,25.100.10,Turning tools,ISO -> 25 -> 25.100,
ISO -> 25 -> 25.100 -> 25.100.20,25.100.20,Milling tools,ISO -> 25 -> 25.100,
ISO -> 25 -> 25.100 -> 25.100.25,25.100.25,Tools for planing and broaching machines,ISO -> 25 -> 25.100,
ISO -> 25 -> 25.100 -> 25.100.30,25.100.30,"Drills, countersinks, reamers",ISO -> 25 -> 25.100,
ISO -> 25 -> 25.100 -> 25.100.40,25.100.40,Saws,ISO -> 25 -> 25.100,
ISO -> 25 -> 25.100 -> 25.100.50,25.100.50,Taps and threading dies,ISO -> 25 -> 25.100,
ISO -> 25 -> 25.100 -> 25.100.60,25.100.60,Files,ISO -> 25 -> 25.100,
ISO -> 25 -> 25.100 -> 25.100.70,25.100.70,Abrasives,ISO -> 25 -> 25.100,
ISO -> 25 -> 25.120,25.120,Chipless working equipment,ISO -> 25,ISO -> 25 -> 25.120 -> 25.120.10
,,,,ISO -> 25 -> 25.120 -> 25.120.20
,,,,ISO -> 25 -> 25.120 -> 25.120.30
,,,,ISO -> 25 -> 25.120 -> 25.120.40
ISO -> 25 -> 25.120 -> 25.120.10,25.120.10,Forging equipment. Presses. Shears,ISO -> 25 -> 25.120,
ISO -> 25 -> 25.120 -> 25.120.20,25.120.20,"Rolling, extruding and drawing equipment",ISO -> 25 -> 25.120,
ISO -> 25 -> 25.120 -> 25.120.30,25.120.30,Moulding equipment,ISO -> 25 -> 25.120,
ISO -> 25 -> 25.120 -> 25.120.40,25.120.40,Electrochemical machines,ISO -> 25 -> 25.120,
ISO -> 25 -> 25.140,25.140,"Hand-held toolsTools for working with voltages, see13.260",ISO -> 25,ISO -> 25 -> 25.140 -> 25.140.01
,,,,ISO -> 25 -> 25.140 -> 25.140.10
,,,,ISO -> 25 -> 25.140 -> 25.140.30
ISO -> 25 -> 25.140 -> 25.140.01,25.140.01,Hand-held tools in general,ISO -> 25 -> 25.140,
ISO -> 25 -> 25.140 -> 25.140.10,25.140.10,Pneumatic tools,ISO -> 25 -> 25.140,
ISO -> 25 -> 25.140 -> 25.140.30,25.140.30,"Hand-operated toolsIncluding wrenches, screwdrivers, pliers, nippers, hammers, etc.",ISO -> 25 -> 25.140,
ISO -> 25 -> 25.160,25.160,"Welding, brazing and solderingIncluding gas welding, electric welding, plasma welding, electron beam welding, plasma cutting, etc.",ISO -> 25,ISO -> 25 -> 25.160 -> 25.160.01
,,,,ISO -> 25 -> 25.160 -> 25.160.10
,,,,ISO -> 25 -> 25.160 -> 25.160.20
,,,,ISO -> 25 -> 25.160 -> 25.160.30
,,,,ISO -> 25 -> 25.160 -> 25.160.40
,,,,ISO -> 25 -> 25.160 -> 25.160.50
ISO -> 25 -> 25.160 -> 25.160.01,25.160.01,"Welding, brazing and soldering in generalIncluding welders' qualifications",ISO -> 25 -> 25.160,
ISO -> 25 -> 25.160 -> 25.160.10,25.160.10,Welding processesIncluding thermal cutting and cladding,ISO -> 25 -> 25.160,
ISO -> 25 -> 25.160 -> 25.160.20,25.160.20,"Welding consumablesIncluding electrodes, filler metals, gases, etc.",ISO -> 25 -> 25.160,
ISO -> 25 -> 25.160 -> 25.160.30,25.160.30,Welding equipmentIncluding thermal cutting equipment,ISO -> 25 -> 25.160,
ISO -> 25 -> 25.160 -> 25.160.40,25.160.40,Welded joints and weldsIncluding welding position and mechanical and non-destructive testing of welded joints,ISO -> 25 -> 25.160,
ISO -> 25 -> 25.160 -> 25.160.50,25.160.50,Brazing and solderingIncluding brazing and soldering alloys and equipment,ISO -> 25 -> 25.160,
ISO -> 25 -> 25.180,25.180,Industrial furnaces,ISO -> 25,ISO -> 25 -> 25.180 -> 25.180.01
ISO -> 25 -> 25.180 -> 25.180.01,25.180.01,Industrial furnaces in general,ISO -> 25 -> 25.180,
ISO -> 25 -> 25.200,25.200,Heat treatment,ISO -> 25,
ISO -> 25 -> 25.220,25.220,"Surface treatment and coatingIncluding processes and equipment for surface treatment and coatingHeat treatment, see25.200Surface treatment and coating in aerospace industry, see49.040Corrosion of metals, see77.060Paint coating, see87.020",ISO -> 25,ISO -> 25 -> 25.220 -> 25.220.01
,,,,ISO -> 25 -> 25.220 -> 25.220.10
,,,,ISO -> 25 -> 25.220 -> 25.220.20
,,,,ISO -> 25 -> 25.220 -> 25.220.40
,,,,ISO -> 25 -> 25.220 -> 25.220.50
,,,,ISO -> 25 -> 25.220 -> 25.220.60
,,,,ISO -> 25 -> 25.220 -> 25.220.99
ISO -> 25 -> 25.220 -> 25.220.01,25.220.01,Surface treatment and coating in general,ISO -> 25 -> 25.220,
ISO -> 25 -> 25.220 -> 25.220.10,25.220.10,"Surface preparationIncluding surface preparation for painting, cleaning, scouring, blasting, etc.",ISO -> 25 -> 25.220,
ISO -> 25 -> 25.220 -> 25.220.20,25.220.20,"Surface treatmentIncluding anodization, conversion coating, thermal spraying, etc.",ISO -> 25 -> 25.220,
ISO -> 25 -> 25.220 -> 25.220.40,25.220.40,"Metallic coatingsIncluding electrolytic depositions, cathodic coatings, autocatalytic coatings, etc.",ISO -> 25 -> 25.220,
ISO -> 25 -> 25.220 -> 25.220.50,25.220.50,Enamels,ISO -> 25 -> 25.220,
ISO -> 25 -> 25.220 -> 25.220.60,25.220.60,Organic coatings,ISO -> 25 -> 25.220,
ISO -> 25 -> 25.220 -> 25.220.99,25.220.99,Other treatments and coatings,ISO -> 25 -> 25.220,
ISO -> 27,27,Energy and heat transfer engineering,ISO,ISO -> 27 -> 27.010
,,,,ISO -> 27 -> 27.015
,,,,ISO -> 27 -> 27.020
,,,,ISO -> 27 -> 27.040
,,,,ISO -> 27 -> 27.060
,,,,ISO -> 27 -> 27.075
,,,,ISO -> 27 -> 27.080
,,,,ISO -> 27 -> 27.100
,,,,ISO -> 27 -> 27.120
,,,,ISO -> 27 -> 27.140
,,,,ISO -> 27 -> 27.160
,,,,ISO -> 27 -> 27.180
,,,,ISO -> 27 -> 27.190
,,,,ISO -> 27 -> 27.200
,,,,ISO -> 27 -> 27.220
ISO -> 27 -> 27.010,27.010,Energy and heat transfer engineering in general,ISO -> 27,
ISO -> 27 -> 27.015,27.015,"Energy efficiency. Energy conservation in generalIncluding energy auditsEnergy management systems, see03.100.70Energy efficiency of buildings, see91.120.10",ISO -> 27,
ISO -> 27 -> 27.020,27.020,"Internal combustion enginesInternal combustion engines for current generating sets, see29.160.40Internal combustion engines for road vehicles, see43.060Marine engines, see47.020.20",ISO -> 27,
ISO -> 27 -> 27.040,27.040,"Gas and steam turbines. Steam enginesHydraulic turbines, see27.140",ISO -> 27,
ISO -> 27 -> 27.060,27.060,Burners. Boilers,ISO -> 27,ISO -> 27 -> 27.060 -> 27.060.10
,,,,ISO -> 27 -> 27.060 -> 27.060.20
,,,,ISO -> 27 -> 27.060 -> 27.060.30
ISO -> 27 -> 27.060 -> 27.060.10,27.060.10,Liquid and solid fuel burners,ISO -> 27 -> 27.060,
ISO -> 27 -> 27.060 -> 27.060.20,27.060.20,Gas fuel burners,ISO -> 27 -> 27.060,
ISO -> 27 -> 27.060 -> 27.060.30,27.060.30,"Boilers and heat exchangersIncluding steam pressure vesselsHeat exchangers for medical use, see11.040.10Heat exchangers for the chemical industry, see71.120.30Heat exchangers for the petroleum and natural gas industry, see75.180.20Heating appliances for buildings, see97.100",ISO -> 27 -> 27.060,
ISO -> 27 -> 27.075,27.075,"Hydrogen technologiesIndustrial application of gases, see71.100.20",ISO -> 27,
ISO -> 27 -> 27.080,27.080,Heat pumps,ISO -> 27,
ISO -> 27 -> 27.100,27.100,"Power stations in generalIncluding thermal power plantsNuclear power plants, see27.120.20Hydraulic power plants, see27.140Solar power stations, see27.160Wind turbine systems, see27.180",ISO -> 27,
ISO -> 27 -> 27.120,27.120,Nuclear energy engineering,ISO -> 27,ISO -> 27 -> 27.120 -> 27.120.01
,,,,ISO -> 27 -> 27.120 -> 27.120.10
,,,,ISO -> 27 -> 27.120 -> 27.120.20
,,,,ISO -> 27 -> 27.120 -> 27.120.30
,,,,ISO -> 27 -> 27.120 -> 27.120.99
ISO -> 27 -> 27.120 -> 27.120.01,27.120.01,Nuclear energy in general,ISO -> 27 -> 27.120,
ISO -> 27 -> 27.120 -> 27.120.10,27.120.10,Reactor engineering,ISO -> 27 -> 27.120,
ISO -> 27 -> 27.120 -> 27.120.20,27.120.20,"Nuclear power plants. SafetyRadiation protection, see13.280",ISO -> 27 -> 27.120,
ISO -> 27 -> 27.120 -> 27.120.30,27.120.30,"Fissile materials and nuclear fuel technologyIncluding raw materialsRadioactive wastes, see13.030.30",ISO -> 27 -> 27.120,
ISO -> 27 -> 27.120 -> 27.120.99,27.120.99,Other standards related to nuclear energy,ISO -> 27 -> 27.120,
ISO -> 27 -> 27.140,27.140,Hydraulic energy engineeringIncluding hydraulic turbines,ISO -> 27,
ISO -> 27 -> 27.160,27.160,Solar energy engineeringIncluding photovoltaic energy systems,ISO -> 27,
ISO -> 27 -> 27.180,27.180,Wind turbine energy systemsIncluding generation of electrical energy,ISO -> 27,
ISO -> 27 -> 27.190,27.190,Biological sources and alternative sources of energy,ISO -> 27,
ISO -> 27 -> 27.200,27.200,"Refrigerating technologyAir-conditioners, see23.120Refrigerants, see71.100.45Household refrigerating appliances, see97.040.30Commercial refrigerating appliances, see97.130.20",ISO -> 27,
ISO -> 27 -> 27.220,27.220,"Heat recovery. Thermal insulationThermal insulation of buildings, see91.120.10",ISO -> 27,
ISO -> 29,29,Electrical engineering,ISO,ISO -> 29 -> 29.020
,,,,ISO -> 29 -> 29.030
,,,,ISO -> 29 -> 29.035
,,,,ISO -> 29 -> 29.040
,,,,ISO -> 29 -> 29.060
,,,,ISO -> 29 -> 29.080
,,,,ISO -> 29 -> 29.100
,,,,ISO -> 29 -> 29.120
,,,,ISO -> 29 -> 29.130
,,,,ISO -> 29 -> 29.140
,,,,ISO -> 29 -> 29.160
,,,,ISO -> 29 -> 29.180
,,,,ISO -> 29 -> 29.220
,,,,ISO -> 29 -> 29.240
,,,,ISO -> 29 -> 29.260
,,,,ISO -> 29 -> 29.280
ISO -> 29 -> 29.020,29.020,"Electrical engineering in generalIncluding voltages, general electrical terminology, electrical documentation, electrical tables, safety, fire hazard testing, etc.Electrical diagrams and charts, see01.100.25Electrical power stations, see27.100Electromagnetic compatibility, see33.100",ISO -> 29,
ISO -> 29 -> 29.030,29.030,"Magnetic materialsSteels with special magnetic properties, see77.140.40",ISO -> 29,
ISO -> 29 -> 29.035,29.035,Insulating materials,ISO -> 29,ISO -> 29 -> 29.035 -> 29.035.50
ISO -> 29 -> 29.035 -> 29.035.50,29.035.50,Mica based materials,ISO -> 29 -> 29.035,
ISO -> 29 -> 29.040,29.040,Insulating fluids,ISO -> 29,ISO -> 29 -> 29.040 -> 29.040.10
ISO -> 29 -> 29.040 -> 29.040.10,29.040.10,Insulating oils,ISO -> 29 -> 29.040,
ISO -> 29 -> 29.060,29.060,Electrical wires and cables,ISO -> 29,
ISO -> 29 -> 29.080,29.080,"InsulationInsulating materials, see29.035Insulating fluids, see29.040",ISO -> 29,
ISO -> 29 -> 29.100,29.100,"Components for electrical equipmentElectronic components, see31",ISO -> 29,
ISO -> 29 -> 29.120,29.120,Electrical accessories,ISO -> 29,
ISO -> 29 -> 29.130,29.130,Switchgear and controlgear,ISO -> 29,ISO -> 29 -> 29.130 -> 29.130.20
ISO -> 29 -> 29.130 -> 29.130.20,29.130.20,Low voltage switchgear and controlgearIncluding switchgear and controlgear assemblies,ISO -> 29 -> 29.130,
ISO -> 29 -> 29.140,29.140,Lamps and related equipment,ISO -> 29,ISO -> 29 -> 29.140 -> 29.140.20
ISO -> 29 -> 29.140 -> 29.140.20,29.140.20,Incandescent lamps,ISO -> 29 -> 29.140,
ISO -> 29 -> 29.160,29.160,Rotating machinery,ISO -> 29,ISO -> 29 -> 29.160 -> 29.160.01
,,,,ISO -> 29 -> 29.160 -> 29.160.20
,,,,ISO -> 29 -> 29.160 -> 29.160.30
,,,,ISO -> 29 -> 29.160 -> 29.160.40
,,,,ISO -> 29 -> 29.160 -> 29.160.99
ISO -> 29 -> 29.160 -> 29.160.01,29.160.01,Rotating machinery in general,ISO -> 29 -> 29.160,
ISO -> 29 -> 29.160 -> 29.160.20,29.160.20,Generators,ISO -> 29 -> 29.160,
ISO -> 29 -> 29.160 -> 29.160.30,29.160.30,Motors,ISO -> 29 -> 29.160,
ISO -> 29 -> 29.160 -> 29.160.40,29.160.40,Generating sets,ISO -> 29 -> 29.160,
ISO -> 29 -> 29.160 -> 29.160.99,29.160.99,Other standards related to rotating machinery,ISO -> 29 -> 29.160,
ISO -> 29 -> 29.180,29.180,"Transformers. ReactorsInstrument transformers, see17.220.20",ISO -> 29,
ISO -> 29 -> 29.220,29.220,Galvanic cells and batteries,ISO -> 29,ISO -> 29 -> 29.220 -> 29.220.10
,,,,ISO -> 29 -> 29.220 -> 29.220.20
ISO -> 29 -> 29.220 -> 29.220.10,29.220.10,Primary cells and batteries,ISO -> 29 -> 29.220,
ISO -> 29 -> 29.220 -> 29.220.20,29.220.20,Acid secondary cells and batteries,ISO -> 29 -> 29.220,
ISO -> 29 -> 29.240,29.240,"Power transmission and distribution networksElectricity supply systems in buildings, see91.140.50",ISO -> 29,ISO -> 29 -> 29.240 -> 29.240.10
ISO -> 29 -> 29.240 -> 29.240.10,29.240.10,Substations. Surge arresters,ISO -> 29 -> 29.240,
ISO -> 29 -> 29.260,29.260,Electrical equipment for working in special conditions,ISO -> 29,ISO -> 29 -> 29.260 -> 29.260.20
ISO -> 29 -> 29.260 -> 29.260.20,29.260.20,Electrical apparatus for explosive atmospheres,ISO -> 29 -> 29.260,
ISO -> 29 -> 29.280,29.280,"Electric traction equipmentIncluding railway electric fixed installationsElectric road vehicles, see43.120Non-electric railway tractive stock, see45.060.10",ISO -> 29,
ISO -> 31,31,Electronics,ISO,ISO -> 31 -> 31.020
,,,,ISO -> 31 -> 31.040
,,,,ISO -> 31 -> 31.060
,,,,ISO -> 31 -> 31.080
,,,,ISO -> 31 -> 31.120
,,,,ISO -> 31 -> 31.180
,,,,ISO -> 31 -> 31.200
,,,,ISO -> 31 -> 31.220
,,,,ISO -> 31 -> 31.260
ISO -> 31 -> 31.020,31.020,"Electronic components in generalMagnetic components, see29.100.10",ISO -> 31,
ISO -> 31 -> 31.040,31.040,Resistors,ISO -> 31,
ISO -> 31 -> 31.060,31.060,Capacitors,ISO -> 31,
ISO -> 31 -> 31.080,31.080,"Semiconductor devicesSemiconducting materials, see29.045",ISO -> 31,ISO -> 31 -> 31.080 -> 31.080.01
ISO -> 31 -> 31.080 -> 31.080.01,31.080.01,Semiconductor devices in general,ISO -> 31 -> 31.080,
ISO -> 31 -> 31.120,31.120,Electronic display devicesIncluding liquid crystal displays,ISO -> 31,
ISO -> 31 -> 31.180,31.180,Printed circuits and boards,ISO -> 31,
